2006-10 52
2006-11 57
2006-12 125
2007-01 98
2007-02 91
2007-03 36
2007-04 84
2007-05 67
2007-06 71
2007-07 174
2007-08 120
2007-09 34
2007-10 31
2007-11 47
2007-12 176
2008-01 239
2008-02 346
2008-03 170
2008-04 49
2008-05 29
2008-06 84
2008-07 85
2008-08 54
2008-09 184
2008-10 295
2008-11 85
2008-12 121
2009-01 143
2009-02 291
2009-03 451
2009-04 335
2009-05 259
2009-06 184
2009-07 146
2009-08 58
2009-09 110
2009-10 403
2009-11 120
2009-12 250
2010-01 411
2010-02 299
2010-03 143
2010-04 105
2010-05 17
2010-06 1
2010-07 3
2010-08 6
2010-09 2
2010-11 1
2010-12 5
2011-01 2
2011-02 4
2011-03 3
2011-05 27
2011-06 4
2011-07 5
2011-08 3
2011-10 1
2011-12 176
2012-01 150
2012-02 189
2012-03 139
